created_at,tweet_id,Location,tweet_text,screen_name,name,account_creation_date,urls,Likes,Retweet
2021-03-09 11:57:41,1369256072524005382,,"RT @snkr_twitr: GS Nike Dunk High SE ‘All-Star’

https://t.co/rDexeDRJj8

#AD https://t.co/QxQg8dfEzE",MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,"[{'url': 'https://t.co/rDexeDRJj8', 'expanded_url': 'https://bit.ly/3elHP5D', 'display_url': 'bit.ly/3elHP5D', 'indices': [49, 72]}]",0,0
2021-03-09 11:57:38,1369256060150837260,,"RT @snkr_twitr: Nike Dunk High SE ‘All-Star’ on JD UK 

https://t.co/XN3z6AuQta

#AD https://t.co/WaWt7Q7Fpf",MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,"[{'url': 'https://t.co/XN3z6AuQta', 'expanded_url': 'https://bit.ly/2PDXGSM', 'display_url': 'bit.ly/2PDXGSM', 'indices': [56, 79]}]",0,3
2021-03-09 11:57:36,1369256051317612553,Negeria,@Bet9jaOfficial Salah he no Nike logo on his shirt while Fulham player has no addidas logo on his shocks.,candyprince6,Just Prince 🏵,Fri Nov 02 15:01:33 +0000 2012,[],0,0
2021-03-09 11:57:35,1369256047601389569,,@Nike when will you have more of these in stock please? @nikestore https://t.co/2IrHYFl4Cr,Cr7griff23,Lee,Sun Jun 09 06:59:00 +0000 2013,[],0,0
2021-03-09 11:57:28,1369256014705528835,,"RT @snkr_twitr: Sizes 11+ on Nordstrom: Jordan 1 Mid SE ‘ASW’

https://t.co/MnIoUGvFHn

#AD https://t.co/5jGYPIDlUA",MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,"[{'url': 'https://t.co/MnIoUGvFHn', 'expanded_url': 'https://bit.ly/38nNQuM', 'display_url': 'bit.ly/38nNQuM', 'indices': [63, 86]}]",0,5
2021-03-09 11:57:17,1369255968526188544,,RT @SneakerScouts: #ad The Nike Zoom Freak 2 PE 'Midnight Navy/Poison Green' is now available via @FinishLine! |$130| #SneakerScouts @Giann…,MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,[],0,2
2021-03-09 11:57:12,1369255950192902149,,"RT @promoSpricedrop: Join our Facebook group for more deals! ➡️➡️➡️https://t.co/WOLh5dDsR9⬅️⬅️⬅️
✅#DEALS
✅#FREEBIES
✅#SAMPLES
✅#COUPONS
✅#P…",Mehmet30220994,Mehmet,Wed Feb 17 14:21:54 +0000 2021,"[{'url': 'https://t.co/WOLh5dDsR9', 'expanded_url': 'https://bit.ly/38G00yj', 'display_url': 'bit.ly/38G00yj', 'indices': [67, 90]}]",0,18
2021-03-09 11:57:12,1369255948926279685,Worldwide,"RT @FRSHSneaks: Sizes adding to cart: Nike Air Force 1 '07 ""Popcorn"" via Offspring: 

-&gt; https://t.co/mL5p2Oc5Y0 https://t.co/T7PTufN5xe",RayVsJonez,SUCCESSFUL,Fri Jan 08 04:42:08 +0000 2010,"[{'url': 'https://t.co/mL5p2Oc5Y0', 'expanded_url': 'https://tidd.ly/3sWZ55a', 'display_url': 'tidd.ly/3sWZ55a', 'indices': [92, 115]}]",0,1
2021-03-09 11:57:04,1369255914956615687,United Kingdom,"RT @PluggedGlobal: Nike SB Dunk Low VX1000

UK3.5 - UK12 Available ✅

Prices Starting From £399.99

DM For Purchase Info 📥: https://t.co/lj…",cloutjordy,2021Vlone,Sun Dec 16 21:57:57 +0000 2018,[],0,1
2021-03-09 11:57:02,1369255909071888387,ハウス。,"RT @LuisGatTWI: Kei Nishikori on #Federer wearing Uniqlo: ""Still looks weird. He's my idol. Used to see him with Nike for so many years. It…",E_ncho_2,かいだ・ヘイゼル・るい,Mon Jan 25 17:55:35 +0000 2010,[],0,24
2021-03-09 11:57:02,1369255905607450626,United Kingdom,"RT @PluggedGlobal: Nike Jordan 1 Low PRM Smoke Grey Elephant 

UK6 - UK12 Available ✅

Prices Starting From £179.99

DM For Purchase Info 📥…",cloutjordy,2021Vlone,Sun Dec 16 21:57:57 +0000 2018,[],0,0
2021-03-09 11:56:50,1369255856936779778,,That fella with the flippers modelling for Nike @ROUNDTHEBEND__ https://t.co/1XGeeq3WvX,samj612,Sam Jones,Wed Jan 26 15:45:20 +0000 2011,[],0,0
2021-03-09 11:56:48,1369255849814876162,,RT @SneakerScouts: #ad The Nike Air Force 1 LV8 'Worldwide/Volt' is now available via @snipes_usa! |$110| #SneakerScouts @Nike https://t.co…,MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,[],0,1
2021-03-09 11:56:48,1369255848518836225,,"RT @SneakerPings: Tomorrow we will see the release of the Nike Dunk Hi ""All Star."" Retail is set at $110 and is looking to be very profitab…",pawasl33t,pawasl33t,Sun Mar 01 17:27:47 +0000 2020,[],0,79
2021-03-09 11:56:44,1369255830609084416,,RT @bestoffnike: Nike Air VaporMax 2019 SE https://t.co/wNDl2mhP46,_LeandroMendes,- Leo 🐧,Fri Jul 11 22:51:08 +0000 2014,[],0,320
2021-03-09 11:56:36,1369255799084752898,Toronto,RT @StreetFashion01: NIKE Logo Timeline🔍 https://t.co/LhhOJsKTdx,KojoBoy_,Kojo Casanova 🏗| 📈,Sun Apr 25 23:10:14 +0000 2010,[],0,124
2021-03-09 11:56:35,1369255792893911043,,"RT @SneakerSpecial: Nike Dunk High ""Syracuse""
Release Date: Mar 10th, 2021 (Wednesday)
Mens: $120
https://t.co/uVr5hdr3ys https://t.co/nq0B…",MJ23_Chicago,MJ23,Thu Jun 18 02:08:55 +0000 2015,"[{'url': 'https://t.co/uVr5hdr3ys', 'expanded_url': 'http://bit.ly/2fVYd00', 'display_url': 'bit.ly/2fVYd00', 'indices': [98, 121]}]",0,2
2021-03-09 11:56:28,1369255762862764035,"Orlando, Florida","RT @Killatone407: @darealbabyzane Love to see you in that @Nike SPACE UNIFORM 🚀👀 @UCF_Recruiting 
@mzdurant01 https://t.co/o3OyLBnjbY",mzdurant01,Rojina Durant,Sat Nov 05 23:35:01 +0000 2011,[],0,1
